18:02:38|2016-04-13|35.82|90.14
18:02:39|2016-04-13|10.82|50.31
18:03:01|2016-04-13|39.07|76.70
23:50:45|2016-04-13|20.35|73.13
23:50:48|2016-04-13|25.63|75.29
23:51:11|2016-04-13|5.135|64.40
23:51:33|2016-04-13|25.27|96.24
23:51:35|2016-04-13|37.00|94.55
23:51:52|2016-04-13|40.23|90.48
23:51:54|2016-04-13|28.33|87.11
23:52:22|2016-04-13|9.928|61.19
23:52:38|2016-04-13|8.248|60.71
23:52:52|2016-04-13|15.19|53.70
23:56:32|2016-04-13|28.00|77.15
23:56:50|2016-04-13|25.66|66.06
23:56:58|2016-04-13|20.46|52.43
23:57:41|2016-04-13|39.55|62.64
23:58:05|2016-04-13|22.24|84.42
23:58:25|2016-04-13|43.64|77.78
23:58:51|2016-04-13|24.97|67.26
