17:32:13|2016-04-13|23.13|97.39
17:32:20|2016-04-13|31.94|64.02
17:32:30|2016-04-13|15.68|88.06
17:32:52|2016-04-13|34.84|99.20
17:33:00|2016-04-13|37.15|99.50
17:33:20|2016-04-13|25.17|64.70
17:33:34|2016-04-13|34.24|91.75
17:33:56|2016-04-13|42.56|82.87
17:34:19|2016-04-13|9.891|63.49
17:34:29|2016-04-13|41.03|75.21
17:34:47|2016-04-13|37.35|72.49
17:35:05|2016-04-13|28.71|98.26
17:35:09|2016-04-13|42.55|79.35
17:35:14|2016-04-13|22.05|67.22
17:35:15|2016-04-13|27.69|95.59
18:00:26|2016-04-13|26.20|60.72
18:00:30|2016-04-13|9.250|67.11
18:00:51|2016-04-13|27.75|94.03
23:51:05|2016-04-13|12.68|98.55
23:51:23|2016-04-13|25.29|94.67
23:51:34|2016-04-13|8.811|88.29
23:51:52|2016-04-13|8.097|80.32
23:52:05|2016-04-13|16.77|64.64
23:52:12|2016-04-13|5.566|52.20
23:52:18|2016-04-13|18.90|74.91
23:52:27|2016-04-13|12.63|83.23
23:52:46|2016-04-13|6.517|83.23
23:52:51|2016-04-13|25.29|73.28
23:53:05|2016-04-13|24.03|56.67
23:56:39|2016-04-13|10.76|69.71
